huyen,xa,thon,cap
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 5,2
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 1,3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 3,3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 7,3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 8,3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 9,3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 11,3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 16,3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 12,4
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Thủy Phú,1
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Triều Sơn Nam,1
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Địa Linh,2
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Triều Sơn Đông,2
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Bao Vinh,3
Thành phố Huế,Phường Hương Vinh,Tổ dân phố La Khê,3
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Minh Thanh,3
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Thế Lại Thượng,4
Thành phố Huế,Phường Kim Long,Tổ dân phố 6,1
Thành phố Huế,Phường Kim Long,Tổ dân phố 2,2
Thành phố Huế,Phường Kim Long,Tổ dân phố 8,2
Thành phố Huế,Phường Kim Long,Tổ dân phố 12,2
Thành phố Huế,Phường Kim Long,Tổ dân phố 1,3
Thành phố Huế,Phường Kim Long,Tổ dân phố 3,3
Thành phố Huế,Phường Kim Long,Tổ dân phố 4,3
Thành phố Huế,Phường Kim Long,Tổ dân phố 5,3
Thành phố Huế,Phường Kim Long,Tổ dân phố 7,3
Thành phố Huế,Phường Kim Long,Tổ dân phố 9,3
Thành phố Huế,Phường Kim Long,Tổ dân phố 10,3
Thành phố Huế,Phường Kim Long,Tổ dân phố 11,3
Thành phố Huế,Phường Kim Long,Tổ dân phố 13,3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 1,3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 2,3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 3,3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 4,3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 5,3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 6,3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 8,3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 7,4
Thành phố Huế,Phường Phú Hội,Tổ dân phố 4,1
Thành phố Huế,Phường Phú Hội,Tổ dân phố 1,2
Thành phố Huế,Phường Phú Hội,Tổ dân phố 2,2
Thành phố Huế,Phường Phú Hội,Tổ dân phố 5,2
Thành phố Huế,Phường Phú Hội,Tổ dân phố 7,2
Thành phố Huế,Phường Phú Hội,Tổ dân phố 3,3
Thành phố Huế,Phường Phú Hội,Tổ dân phố 6,3
Thành phố Huế,Phường Phú Hội,Tổ dân phố 8,3
